symbol,date,open,high,low,close,volume
SBER,2020-11-03,205.7,211.11,203.8,209.2,90368710
SBER,2020-11-05,214.4,218.65,211.43,216.7,152554980
SBER,2020-11-06,215.8,218.29,213.0,217.5,94997390
SBER,2020-11-09,220.0,231.3,218.7,228.05,217536750
SBER,2020-11-10,227.0,237.6,226.27,236.1,229603230
SBER,2020-11-11,237.0,245.98,236.89,244.2,234843470
SBER,2020-11-12,243.31,245.72,240.22,242.08,151436920
SBER,2020-11-13,242.01,244.14,238.62,242.99,106150870
SBER,2020-11-16,244.14,248.73,244.0,247.99,113945190
SBER,2020-11-17,248.0,249.84,243.41,245.7,94918470
SBER,2020-11-18,245.1,247.23,242.59,242.71,60088940
SBER,2020-11-19,242.5,243.49,237.34,240.27,97143730
SBER,2020-11-20,239.58,240.77,236.57,239.42,48799870
SBER,2020-11-23,240.45,243.87,238.52,239.7,74832280
SBER,2020-11-24,241.65,247.85,239.57,247.33,84515780
SBER,2020-11-25,248.0,252.2,246.55,251.91,133397740
SBER,2020-11-26,252.3,252.88,247.44,250.1,79917590
SBER,2020-11-27,250.3,252.26,248.03,251.59,51431130
SBER,2020-11-30,249.72,251.0,245.98,249.63,112141620
SBER,2020-12-01,250.75,260.99,249.8,260.81,132069500
SBER,2020-12-02,260.05,264.99,258.8,264.06,93452130
SBER,2020-12-03,264.5,264.63,260.85,263.14,62240840
SBER,2020-12-04,264.63,270.84,264.5,270.0,94637930
SBER,2020-12-07,269.0,276.13,268.1,274.36,94793660
SBER,2020-12-08,274.5,276.66,271.52,275.49,78859920
SBER,2020-12-09,276.4,279.42,275.87,276.89,73639980
SBER,2020-12-10,276.55,282.2,275.2,282.2,75658690
SBER,2020-12-11,282.5,284.6,279.78,283.73,76101950
SBER,2020-12-14,285.01,287.74,277.1,279.95,90415250
SBER,2020-12-15,278.53,283.76,276.07,278.7,84193230
SBER,2020-12-16,278.0,280.84,276.14,278.35,54748960
SBER,2020-12-17,279.81,285.16,276.54,278.5,92138550
SBER,2020-12-18,277.22,277.4,268.52,270.16,99271840
SBER,2020-12-21,266.2,267.34,259.7,261.79,120517950
SBER,2020-12-22,259.55,267.42,257.05,262.04,105490480
SBER,2020-12-23,262.25,270.29,260.22,270.1,67938790
SBER,2020-12-24,271.98,272.82,267.13,269.32,42614450
SBER,2020-12-25,269.97,271.0,268.28,270.64,11989750
SBER,2020-12-28,270.9,275.19,269.73,274.7,39043430
SBER,2020-12-29,275.91,276.43,271.26,272.0,39021610
SBER,2020-12-30,272.49,274.24,270.12,271.65,31530660
SBER,2021-01-04,274.67,276.6,270.61,272.0,48922920
SBER,2021-01-05,272.69,275.7,270.28,275.2,45583910
SBER,2021-01-06,275.94,275.94,271.62,272.93,40948520
SBER,2021-01-08,275.11,283.99,275.11,283.64,88928790
SBER,2021-01-11,282.86,292.95,279.48,289.49,112349520
SBER,2021-01-12,290.88,296.07,286.7,289.99,78962360
SBER,2021-01-13,291.01,292.46,283.1,283.78,67559080
SBER,2021-01-14,284.0,286.9,279.06,284.79,74673700
SBER,2021-01-15,282.55,286.16,276.0,276.9,73774870
SBER,2021-01-18,275.72,281.3,272.95,279.79,73935650
SBER,2021-01-19,280.98,282.8,276.42,278.19,55998820
SBER,2021-01-20,278.62,282.49,276.77,279.8,47940980
SBER,2021-01-21,280.75,281.54,272.84,274.4,83795610
SBER,2021-01-22,273.0,273.3,266.78,268.25,87007610
SBER,2021-01-25,271.0,273.63,261.65,265.3,114330950
SBER,2021-01-26,262.7,269.57,262.61,269.34,75228120
SBER,2021-01-27,270.07,273.8,265.02,265.5,100093260
SBER,2021-01-28,263.5,267.17,261.17,265.96,81253290
SBER,2021-01-29,263.77,264.75,257.36,258.11,120123710
SBER,2021-02-01,260.0,264.06,258.73,263.8,63130400
SBER,2021-02-02,265.0,268.39,263.05,263.15,79534190
SBER,2021-02-03,264.32,268.14,261.05,263.53,77648760
SBER,2021-02-04,263.21,270.6,262.34,270.11,78929290
SBER,2021-02-05,271.99,272.57,268.87,271.7,71806820
SBER,2021-02-08,273.01,275.58,272.32,275.2,51878390
SBER,2021-02-09,275.99,276.29,267.19,268.98,91921510
SBER,2021-02-10,269.28,270.99,265.2,265.9,63087490
SBER,2021-02-11,265.5,266.9,263.75,264.7,38669800
SBER,2021-02-12,264.0,266.44,258.55,266.0,81658530
SBER,2021-02-15,268.49,271.87,267.07,271.81,56945310
SBER,2021-02-16,272.3,272.8,268.27,270.9,63103170
SBER,2021-02-17,270.99,275.07,267.56,270.9,79103850
SBER,2021-02-18,270.35,272.46,266.21,266.99,58729690
SBER,2021-02-19,266.12,272.81,264.19,271.34,59268550
SBER,2021-02-20,271.0,271.0,269.02,270.51,8763250
SBER,2021-02-22,270.1,274.46,268.12,273.71,48129770
SBER,2021-02-24,272.12,272.75,269.42,271.9,64190320
SBER,2021-02-25,273.6,276.48,270.65,270.71,79716010
SBER,2021-02-26,268.0,272.49,266.43,270.17,74892050
SBER,2021-03-01,273.0,274.73,271.13,273.58,35962010
SBER,2021-03-02,271.89,280.0,271.6,279.1,71566360
SBER,2021-03-03,281.7,283.83,277.63,278.01,64275320
SBER,2021-03-04,278.5,281.96,273.63,274.75,91991370
SBER,2021-03-05,276.0,278.98,272.76,277.5,83551110
SBER,2021-03-09,278.8,286.38,277.56,285.79,72788180
SBER,2021-03-10,285.24,288.0,281.0,282.24,55155180
SBER,2021-03-11,283.84,286.38,282.3,286.0,47365180
SBER,2021-03-12,286.3,287.49,282.82,284.93,51540190
SBER,2021-03-15,286.05,292.92,285.28,292.74,67805740
SBER,2021-03-16,293.06,293.88,288.61,292.33,53921730
SBER,2021-03-17,292.35,293.25,279.6,283.35,110292330
SBER,2021-03-18,284.04,285.79,278.24,279.25,74128740
SBER,2021-03-19,279.0,286.31,278.03,285.47,84249430
SBER,2021-03-22,285.0,291.2,283.08,288.65,62762410
SBER,2021-03-23,287.56,288.3,282.11,282.6,70760630
SBER,2021-03-24,283.4,288.0,282.25,285.79,46411230
SBER,2021-03-25,286.5,287.03,283.85,286.66,35216620
SBER,2021-03-26,288.63,292.75,288.32,291.22,56072880
SBER,2021-03-29,289.72,294.09,289.26,293.3,43681330
SBER,2021-03-30,294.86,295.72,291.5,293.25,38806220
SBER,2021-03-31,294.0,294.42,290.26,291.02,46996880
SBER,2021-04-01,292.0,294.72,288.43,290.24,51601440
SBER,2021-04-02,290.81,292.4,289.14,291.7,19279180
SBER,2021-04-05,290.8,291.48,287.07,288.78,35363370
SBER,2021-04-06,289.0,289.43,281.37,281.5,77530890
SBER,2021-04-07,281.68,284.29,278.54,283.98,74146060
SBER,2021-04-08,284.88,286.2,282.17,283.89,51289780
SBER,2021-04-09,283.47,283.79,280.09,281.07,40033420
SBER,2021-04-12,278.2,285.35,278.0,281.75,57180030
SBER,2021-04-13,282.93,288.2,281.14,287.95,67973530
SBER,2021-04-14,290.0,291.58,286.72,287.18,59364940
SBER,2021-04-15,281.5,285.19,280.87,283.72,88048600
SBER,2021-04-16,285.71,289.3,284.08,288.5,63499000
SBER,2021-04-19,287.86,289.25,286.04,287.72,51327720
SBER,2021-04-20,288.9,290.92,286.59,287.42,63197880
SBER,2021-04-21,288.01,290.2,287.06,289.25,49792800
SBER,2021-04-22,289.04,294.67,286.93,292.18,73632070
SBER,2021-04-23,293.1,294.2,290.78,293.19,42651330
SBER,2021-04-26,294.3,296.48,293.1,295.27,45760050
SBER,2021-04-27,295.74,300.25,295.61,298.5,62853160
SBER,2021-04-28,299.0,299.26,295.89,298.49,40622520
SBER,2021-04-29,301.0,301.84,294.79,297.1,57082260
